fbpp,uniprot_id
FBpp0305858,Q9VVU2
FBpp0084617,P09180
FBpp0070766,Q9W499
FBpp0084966,Q9VAB9
FBpp0305182,P13060
FBpp0072687,Q9W0A8
FBpp0084959,A0A1B3Q3R0
FBpp0110412,A0A0B4KED0;Q9W5N2
FBpp0080102,Q9VJY6;X2JE06
FBpp0086701,Q8T3U2;A0A0B4LFD9
FBpp0303728,Q9V9M7
FBpp0303680,O18640;M9PCC1
FBpp0085585,P41094
FBpp0076207,P17704
FBpp0303780,Q9VBN5
FBpp0070940,Q9W3W8;X2JIQ5
FBpp0078354,Q9VNE9
FBpp0079500,P31009;M9PB84
FBpp0075618,P41042;X2JGM9
FBpp0087608,Q9V597
FBpp0072801,Q9V3G1
FBpp0072094,A0A1B2ALR4;O16130
FBpp0083376,Q9VDH8
FBpp0071052,C0HKA0;C0HKA1;X2JCX8
FBpp0070150,P49630;X2JC35
FBpp0083802,G3M3A2;Q06559
FBpp0083905,A0A0B4KGR4;Q7KS38
FBpp0084150,Q9VBX3
FBpp0291726,M9MRF2;Q9VMU4
FBpp0081879,Q9VGN9
FBpp0099610,Q962S2
FBpp0304265,P08570;M9PBK5
FBpp0077142,M9MRC9;P41092
FBpp0083371,P55828;A0A1B2AL12
FBpp0079484,M9PFF0;P41126
FBpp0076359,P55841;A0A1B2AIV7
FBpp0085166,Q9V9W3
FBpp0072957,D1Z3A1;Q9VZS5
FBpp0080641,M9PG47;P13008
FBpp0084242,Q9VBU9
FBpp0076152,P55935;C6SUW3
FBpp0085717,P46222;A0A0B4LGZ5
FBpp0074500,Q9VWG3;M9NEQ9
FBpp0079752,X2JDU0;P50882
FBpp0089424,P05389
FBpp0077159,P18101;Q7JYK1
FBpp0071846,Q9W229
FBpp0088441,Q3KN36
FBpp0074180,Q24186;X2JKU5
FBpp0306232,P19889;M9PG76
FBpp0291653,Q9VJ19
FBpp0078416,Q9VNB9
FBpp0300615,P55830
FBpp0306039,M9PIM0;O61231
FBpp0087115,Q0E9B6;A0A1B2AJL4
FBpp0079328,Q03334;X2J950
FBpp0305165,O96827;A0A0B4LFL3
FBpp0070877,P46223;X2JCS6
FBpp0077309,O76927;M9PEA6
FBpp0076602,M9PHM6;Q9VS34
FBpp0081822,O16797
FBpp0071087,P29327;H1ZYF1
FBpp0073623,E1JJM9;P48149
FBpp0304879,Q9W5R8;R9Q794
FBpp0291581,Q95RQ7
FBpp0081614,A0A0C4DHE8;Q9VH69
FBpp0071766,A0A0B4LG52;Q9W237
FBpp0082483,Q9VFE0
FBpp0071808,P48159
FBpp0079880,Q9VKC1
FBpp0072083,Q9W1B9
FBpp0079536,P32100;X2J5G6
FBpp0075612,P80455
FBpp0084345,Q9VBH8
FBpp0099686,Q8MLY8;A0A0B4K6N1
FBpp0086269,Q7JZW2
FBpp0071518,Q24154;A0A1B2AJK8
FBpp0300652,A8Y560;O17445
FBpp0079168,Q9VLT7
FBpp0086103,P41093
FBpp0081845,P48588;A0A1B3Q3N5
FBpp0072312,P36241
FBpp0071958,Q9W1T1
FBpp0071771,Q8WTC1
FBpp0304503,M9PCL5;Q9VKX4
FBpp0078694,Q9VMY1
FBpp0072144,P56538
FBpp0085119,Q9V9Z9
FBpp0071888,Q9W1U6
FBpp0070409,O46050
FBpp0086498,Q7K1H5
FBpp0081820,Q9VGS2;A0A126GUT1
FBpp0070154,Q9XZS3
FBpp0074151,Q9VXE0;A0A1B2AJF9
FBpp0290701,Q9VCZ8;E1JIT4
FBpp0070155,Q9W5E7
FBpp0071278,Q9W380
FBpp0070160,Q9V439
FBpp0072457,Q9W0P3
FBpp0070295,Q9XZT1
FBpp0078496,Q8IH24;A0A0B4K6R3
FBpp0085609,A1ZBT5;B6IDR6
FBpp0087251,Q7KBL8
FBpp0076599,Q9VS38
FBpp0079166,P91641
FBpp0078361,Q9VNG0
FBpp0305737,M9PFU7;Q9GYU7
FBpp0082469,P25008
FBpp0081787,Q9GYV9
FBpp0112462,Q9W5P1;A0A1B2AKZ9
FBpp0082980,Q9VEC1
FBpp0074821,Q9VVS4
FBpp0084211,Q9VBQ9
FBpp0083263,Q9VDS6
FBpp0289888,A1ZB42;A0A1B2AJ79
FBpp0074926,Q9VVL6;X2J969
FBpp0076098,Q9VT57
FBpp0071684,Q9W278
FBpp0081639,Q8MSX2;E1JIH5
FBpp0070162,Q9W5C2
FBpp0078896,Q8STG9
FBpp0077740,Q9VPQ7
FBpp0079495,Q9VL69
FBpp0075209,Q9VUZ0
FBpp0070165,Q9V3T1
FBpp0290815,Q8IPT2
FBpp0086223,Q7K7A9
FBpp0086578,Q7KMG7
FBpp0087317,A1Z8C0
FBpp0077263,Q9VQM4
FBpp0080675,Q24558
FBpp0073678,Q9VYA5
FBpp0070624,Q24087;T2FFI3
FBpp0080441,O61661
FBpp0073822,Q494M1
FBpp0078337,Q9VND2
FBpp0087867,A1Z7C1
FBpp0076879,Q9VRJ0
FBpp0082392,O77135
FBpp0290511,Q9VN41
FBpp0081381,Q8SX76
FBpp0070638,P28518;H0RNH2
FBpp0075458,Q9V433
FBpp0077357,O76460
FBpp0084955,Q27297;C6SV45
FBpp0290742,A1Z7R8
FBpp0301208,P43248;M9ND86
FBpp0084486,Q8SZ30
FBpp0085657,Q7KPA5
FBpp0292263,Q9Y118
FBpp0070891,O96651;X2JEB4
FBpp0075441,Q9VUH8
FBpp0080860,O61267
FBpp0070168,Q9W5B6
FBpp0084012,Q9VC87
FBpp0071745,Q9W245
FBpp0070169,Q86B65
FBpp0076478,Q9VSC6
FBpp0075046,Q9VVE0
FBpp0070748,Q7KVW2
FBpp0111428,A8JRG8
FBpp0077802,Q9VPM0
FBpp0099986,Q2MGL3;X2JLB5
FBpp0085455,Q0E9N4
FBpp0070175,O96989
FBpp0079648,P48591
FBpp0084348,Q9VBI1
FBpp0080391,Q24044
FBpp0076371,Q9VSM9
FBpp0076789,Q9VRQ7
FBpp0074715,Q9V464;C0MIY4
FBpp0077899,Q9VPH2;I1WYG8
FBpp0070729,Q9XYU1
FBpp0074888,Q9VVN4
FBpp0080120,Q24169
FBpp0111417,A1A749
FBpp0081756,Q9VGW6
FBpp0070913,Q9V461;C6SUY3
FBpp0076312,Q9XYU0
FBpp0071994,Q24371
FBpp0087566,Q9Y1B2
FBpp0087152,P48592
FBpp0074246,Q9VX15
FBpp0071822,P20439
FBpp0077363,O76511;Q541C9
FBpp0290461,Q9W256
FBpp0076330,Q24317
FBpp0076819,Q9VRQ2
FBpp0070911,Q9W3Y1
FBpp0082329,Q24168
FBpp0086519,Q7JVY2
FBpp0297417,Q9W102
FBpp0305498,Q9W2V7
FBpp0072615,Q9W0I7
FBpp0088995,Q7KVC2
FBpp0086732,Q494K2
FBpp0099655,Q9V444
FBpp0085480,Q7JX41
FBpp0082647,Q9VF30;A0A0B4KH79
FBpp0081317,P49735
FBpp0271702,Q8INX3
FBpp0088055,Q26454;A0A0B4LEV2
FBpp0081004,Q9VIE6
FBpp0079609,Q9VKW3
FBpp0086881,Q7K2L1
FBpp0113035,Q9VB62
FBpp0072041,Q9W1H4
FBpp0303867,Q9VQY9
FBpp0079812,Q9U9Q1
FBpp0088033,O16810
FBpp0079641,P23572;C0MJ66
FBpp0080967,Q9VIH1
FBpp0081356,Q24492
FBpp0070181,Q9V3R3
FBpp0111291,A8DYY5;A0A1B2AL60
FBpp0075595,Q9VU67
FBpp0070184,Q9V410
FBpp0304303,A0A0B4KFV4
FBpp0070191,Q9V3A3
FBpp0304003,R4GRV8
FBpp0070196,Q9W5A7
FBpp0297893,Q9W4M2
FBpp0072761,Q9W028
FBpp0071149,Q9W3E7
FBpp0076300,P07186
FBpp0289676,P07183
FBpp0293660,Q9VEP3
FBpp0271837,A9UN61
FBpp0076590,Q9VS52
FBpp0080783,Q7KT36
FBpp0072780,Q9W029
FBpp0071150,P07182;D1Z363
FBpp0080781,Q9VIV8
FBpp0074480,Q9VWI2
FBpp0083238,Q9VDQ7;U3Q053
FBpp0072187,Q9W1A2
FBpp0070204,O46101
FBpp0074589,Q9VW87;C0MKE7
FBpp0085511,Q9NB13
FBpp0073209,Q8SXS4
FBpp0070205,O46307
FBpp0083572,Q9VD51;A0A0B4LHF7
FBpp0085379,Q8SYL1
FBpp0074936,Q9VVK8
FBpp0077674,Q9VPT3
FBpp0075302,Q9VUN7
FBpp0070719,Q9I7W5
FBpp0304812,Q9VMM7
FBpp0071046,P51406
FBpp0083415,Q9VDE5
FBpp0080510,Q9VJG2
FBpp0076738,Q8I937
FBpp0071194,Q9W3C0
FBpp0083625,Q95WY3
FBpp0078997,Q9VM69
FBpp0079946,Q9VKB4
FBpp0086314,Q9V7P1
FBpp0080211,Q9V3P2
FBpp0072239,Q9W124
FBpp0087437,Q7K0D3
FBpp0079305,Q9VLK1
FBpp0078929,Q9VM95
FBpp0082867,Q8MT06
FBpp0071198,Q9W3B2
FBpp0071193,Q9W3C2
FBpp0079306,Q9VLK2;H0RNN8
FBpp0075106,P26802
FBpp0080997,Q9VIF6
FBpp0081355,Q9VHU1
FBpp0073459,Q9VYQ9
FBpp0304506,Q76NQ0
FBpp0085566,A1ZBW6
FBpp0087731,A1Z7K2
FBpp0087709,Q7KKH3
FBpp0071142,Q9W3K3
FBpp0080052,Q9VJZ7
FBpp0071365,Q9W2Y4
FBpp0071288,Q9W397
FBpp0099583,O44081;E1JGV6
FBpp0087637,Q9V411;A0A0B4LEY9
FBpp0076917,Q9VRI0
FBpp0070208,O18645
FBpp0289083,Q9V8I2;A0A1B2AJR6
FBpp0084399,Q9VBF9
FBpp0293589,A0A0B4KGN1
FBpp0306043,A4V2C3
FBpp0084739,Q9VAP6
FBpp0080015,Q9VK34
FBpp0087883,Q7K519
FBpp0075117,P91891;M9PI82
FBpp0087705,A1Z7Q8
FBpp0083753,Q8IMZ4
FBpp0071303,Q9W328;B4F5L6
FBpp0110403,P83098;A0A0B4K7S5
FBpp0082276,Q8T9L5
FBpp0070672,Q24117;M9NDP1
FBpp0081491,Q9VHJ4
FBpp0078342,Q9VND8;H1ZYG4
FBpp0083975,Q9VCE1
FBpp0070221,Q9W592
FBpp0081367,Q9VHP3
FBpp0070225,O46308
FBpp0075447,Q9VUI0
FBpp0085618,P42570
FBpp0070234,Q9XZS8
FBpp0087498,P18289
FBpp0085176,O62609
FBpp0070235,Q9XZS9
FBpp0085589,Q4V3Z5
FBpp0070239,M9NEN6
FBpp0305206,Q9W5H1
FBpp0070242,Q9W5B3
FBpp0081324,Q9VHS8
FBpp0087063,Q9V6B9
FBpp0083195,Q9VDV3
FBpp0072861,Q95RR8
FBpp0077213,Q9XZ56
FBpp0085915,P21187
FBpp0086294,Q7JXF5
FBpp0082998,Q9VE85
FBpp0085703,P48375;H0RN81
FBpp0112403,Q7PLL3
FBpp0086621,Q7JXA2
FBpp0300445,A0A0B4K618
FBpp0079565,P23128
FBpp0083801,Q9V3J4
FBpp0079710,Q9V466
FBpp0078754,Q27268
FBpp0074075,P41374;X2JFR6
FBpp0305462,Q94533
FBpp0297292,Q9VJD2;M9NEQ5
FBpp0071600,Q9W2E7
FBpp0086098,Q0E940;E2QCG7
FBpp0082137,Q9GYU8
FBpp0072908,Q9VZS3;A0A1B2AJV1
FBpp0087936,Q7K2X8
FBpp0302771,Q8IH18
FBpp0304887,M9PF20
FBpp0070250,Q9W579
FBpp0291369,Q8IP45
FBpp0078007,Q7K0X9
FBpp0075620,Q9VU45
FBpp0088416,Q7JYX5
FBpp0071049,Q9W3M8
FBpp0070262,Q9V3N9
FBpp0070269,O46341;M9PDH8
FBpp0070268,Q8MRL2
FBpp0088636,Q8SYI7
FBpp0074376,Q9VWR0
FBpp0305326,Q9W568;B6IDK2
FBpp0077448,Q9VQB8
FBpp0082513,Q9VFB2
FBpp0302537,Q24208;A0A0B4KGP8
FBpp0111290,A8DYY3
FBpp0081384,Q9VHN6
FBpp0078689,O02195
FBpp0085193,A4V3Q6;P05303
FBpp0087475,A0A0B4LF26;Q7K550
FBpp0078667,Q9U9Q4
FBpp0301570,Q9VZP5
FBpp0076238,Q9VSR5
FBpp0086013,A1ZAX1;A0A0B4LFL2
FBpp0071587,Q9W2D9
FBpp0302563,Q9W0S6
FBpp0072081,Q9GU68
FBpp0305828,L0MQ04
FBpp0073144,M9NDH8;Q9VZD5
FBpp0077141,Q86BM8
FBpp0078584,Q9VN25
FBpp0079542,Q9VL18
FBpp0305426,Q9VVX4
FBpp0081263,Q8SXF0
FBpp0076458,Q9I7Q9
FBpp0071302,Q9W327
FBpp0070430,Q9W4X7
FBpp0084761,Q9NJH0;A0A0B4JD11
FBpp0086705,Q7JVI3;A0A0B4LFB3
FBpp0302048,Q9V6Y3
FBpp0075104,O77410
FBpp0078532,Q9VN50
FBpp0076284,Q9VSS1
FBpp0082994,Q9VEA1
FBpp0075754,Q9VTU4
FBpp0070280,O76901
FBpp0071431,Q9W2R9
FBpp0070283,Q9W589
FBpp0087006,Q7K3Y9
FBpp0086649,Q9V6X7;A8E6L6
FBpp0086606,Q7JY80
FBpp0289140,Q9VZ43
FBpp0070284,Q9W590;X2JA43
FBpp0077998,Q9VP47
FBpp0082928,Q9VEJ2;A0A126GUW2
FBpp0074510,Q9VWF4
FBpp0291670,Q7K4B2
FBpp0088519,Q7K0Y1
FBpp0076827,Q9VRP2
FBpp0306150,Q9VX08
FBpp0079607,O76994
FBpp0076918,O61345
FBpp0079445,Q9VL96
FBpp0081001,Q9VIF0
FBpp0087045,A1Z909
FBpp0079780,Q9VKQ3
FBpp0082984,Q9VEB3
FBpp0076417,Q9VSF2
FBpp0077722,Q9Y149
FBpp0070298,Q9W552
FBpp0077206,Q9VQQ6
FBpp0071685,Q9W277
FBpp0297300,M9NDI3
FBpp0077625,Q9VPX5
FBpp0070808,Q9W486
FBpp0077938,Q4V3Q0
FBpp0082110,Q9VG51
FBpp0082246,Q9VFX6
FBpp0075947,Q95ST2
FBpp0070299,Q9W550
FBpp0087322,Q5U0X8
FBpp0081117,Q9VI82
FBpp0087323,A1Z8D0
FBpp0086063,Q7JXU4
FBpp0077735,Q9VPR4
FBpp0076990,Q9VR89
FBpp0087865,Q7JQN4
FBpp0073943,Q9VXK5
FBpp0087461,Q7JQT9
FBpp0072119,Q9W1G1
FBpp0083659,Q9VCY1
FBpp0089153,Q9VS62
FBpp0305742,M9PFG1
FBpp0088044,Q7JX95
FBpp0070302,Q9W542
FBpp0070304,O46094
FBpp0099992,Q8SXX1
FBpp0292309,Q9W0I6;M9MRM4
FBpp0076085,Q9VT69
FBpp0077149,Q9VQZ0
FBpp0305729,Q9W5X0
FBpp0088843,Q7KMQ6
FBpp0110080,Q0KHU4
FBpp0303635,Q7KTZ2
FBpp0074690,O18338
FBpp0070305,E4NKI7
FBpp0085374,Q8MT58
FBpp0070308,O46079
FBpp0078729,Q9VMQ7;X2J4N6
FBpp0087307,Q7K4B3
FBpp0077129,Q9VQZ6
FBpp0070316,O77264;X2JI07
FBpp0084144,Q9VBY2
FBpp0079470,Q9VL75
FBpp0086096,Q7JZ53
FBpp0305723,Q9VQ40
FBpp0080746,Q9VIW7
FBpp0071217,Q9W3C1;H0RNM5
FBpp0082231,Q9VFV8
FBpp0083673,Q8IN02
FBpp0082995,Q9VE98
FBpp0075317,Q9VUR2
FBpp0070561,Q9W4R1
FBpp0070382,Q9W4Z9
FBpp0090943,Q8MSW9
FBpp0090944,A1Z9W2
FBpp0113107,Q9VIG1
FBpp0070646,Q9W4J5
FBpp0070317,O77263
FBpp0072898,Q8IRE4
FBpp0070862,Q9W415;G2J611
FBpp0078565,Q960G1
FBpp0302559,Q9VHW6
FBpp0099795,Q9VQF8
FBpp0077624,Q9VPX3
FBpp0070637,Q9W4M9
FBpp0079949,Q9VK89
FBpp0077043,Q9VR56
FBpp0084342,Q9VBH7
FBpp0077965,Q9VP65
FBpp0078961,Q8MS69
FBpp0070331,M9PGA7
FBpp0082535,A0A0B4KHJ9
FBpp0088688,P18432
FBpp0077962,Q9V400
FBpp0089196,P25843;M9NEU5
FBpp0080752,Q2PDT4
FBpp0076460,P32392
FBpp0073682,P19351
FBpp0081336,Q8INQ9
FBpp0070333,Q8T4E1
FBpp0070812,Q9W495
FBpp0071123,Q9W3G0
FBpp0070795,Q9W464
FBpp0086200,Q9V7W1
FBpp0088455,Q9VC10
FBpp0078636,Q9VMW8
FBpp0073008,Q9VZM5
FBpp0085870,A1ZB84
FBpp0071597,Q9W2E4
FBpp0084347,Q8MSE4
FBpp0079294,Q9VLK0
FBpp0070335,O46080
FBpp0079708,Q9VKQ6
FBpp0070349,Q9W551
FBpp0086965,Q7JVK1
FBpp0088360,Q9VJ38
FBpp0079304,Q9VLJ9
FBpp0077885,Q9VPF6
FBpp0083665,Q9VCX3
FBpp0305877,Q9W4Z2
FBpp0077550,Q9VQ35
FBpp0303669,A8E702;Q9VMX0
FBpp0079680,Q9VKU3
FBpp0073719,Q9VY48
FBpp0078032,Q9VP13
FBpp0083168,Q9VE04
FBpp0080401,Q9V3D0
FBpp0082412,Q9VFJ2
FBpp0071462,Q9W2M8
FBpp0303832,M9PE14;Q9W021
FBpp0075941,Q9VTF8
FBpp0085121,Q9V9Z1
FBpp0083569,Q8MS27
FBpp0075425,Q9VUJ0;G2J631
FBpp0081599,Q8T3V6
FBpp0073524,F3YDM8;Q9VYI3
FBpp0082540,Q9VF89
FBpp0073906,Q9VXQ0
FBpp0072659,Q9W086
FBpp0076601,Q9V3E3
FBpp0071993,Q9W1L1
FBpp0081860,Q9VGP7
FBpp0088016,A0A1B2AJ61;Q7JWG9
FBpp0074104,Q9VXB5
FBpp0075138,Q9VV39
FBpp0087491,Q7K0A0
FBpp0304831,Q9W547
FBpp0291479,Q9VGW9
FBpp0077783,Q9VPL3
FBpp0070650,Q9W4I3
FBpp0086531,Q7JZM8
FBpp0289636,E1JIS4
FBpp0078415,Q9VNC1
FBpp0081322,Q9VHT5
FBpp0070350,O46084
FBpp0099837,Q0KHV6
FBpp0082864,Q7KSF5
FBpp0292075,Q9VMN4
FBpp0079675,Q9VL16
FBpp0070351,O46085
FBpp0074564,Q9VWC8
FBpp0076295,Q9VSN7
FBpp0072626,Q9W0D7
FBpp0292773,Q9V778;A0A0B4JD21
FBpp0073143,Q9VZD9
FBpp0074825,P17336
FBpp0304214,Q9VUL8
FBpp0086874,Q7JRD4
FBpp0077909,Q9VPB8
FBpp0080659,Q9VJ43
FBpp0076329,Q9VSH8
FBpp0086405,Q7JZE1
FBpp0305188,Q9VPT5;M9PBP1
FBpp0079908,Q8IP97
FBpp0082738,Q9VEV6
FBpp0085630,Q7K3B7
FBpp0077936,Q9VPB9
FBpp0070875,Q9W3Z3
FBpp0070355,Q9W555
FBpp0075111,Q9VV89
FBpp0301099,A0A0B4K5Z8
FBpp0074348,P45437
FBpp0076549,Q9VS46;B6IDL7
FBpp0075713,Q9VTX5
FBpp0301847,M9PGI6
FBpp0085155,Q8I0G5
FBpp0078891,Q9Y0Y5
FBpp0084133,Q8SXY6
FBpp0080048,O62621
FBpp0070358,Q4V5I6
FBpp0305695,O96824
FBpp0070363,L7XAI0
FBpp0304312,Q9VLL4
FBpp0076186,Q9V3C8
FBpp0081600,P08646
FBpp0112426,P40417
FBpp0086812,Q08012
FBpp0071248,Q24324
FBpp0070365,Q7K511
FBpp0080728,Q9VJ28
FBpp0305272,B7Z0E0
FBpp0070368,M9PIS3
FBpp0072050,Q9W1G0;B3DMP7
FBpp0113038,Q9VNW4
FBpp0073235,Q9VZ64
FBpp0087760,P52029
FBpp0301729,Q95RV5
FBpp0074517,B7FNK0
FBpp0070370,O97418
FBpp0076005,Q9VTB4
FBpp0075755,Q9VTU2
FBpp0075010,Q9VVF0
FBpp0077859,Q9VPE2
FBpp0071970,Q9W1N3
FBpp0086570,Q6IDF5
FBpp0071459,Q7JYH3
FBpp0078918,Q9VMB9
FBpp0082645,Q9VF27
FBpp0078847,Q9VMI3
FBpp0302902,Q500Y7
FBpp0077130,Q9VR00
FBpp0080329,Q9V3W2
FBpp0082459,Q9VFF0
FBpp0071092,Q9W3N7
FBpp0081848,Q9VGS3
FBpp0078662,Q9VMU0
FBpp0305911,Q24407;D1Z3A2
FBpp0077209,Q9VQR2
FBpp0291442,Q7PL91
FBpp0292847,O77134
FBpp0271901,Q9VQD7
FBpp0302939,Q9VQM2
FBpp0075069,Q9VV75
FBpp0070950,Q9W3X7
FBpp0071128,Q94511;A4V449
FBpp0100181,P18930;B6E0P8
FBpp0100182,J7FM75
FBpp0070885,Q9W402
FBpp0072975,Q9VZU4
FBpp0083126,Q9V3L7
FBpp0080051,Q9VJZ4
FBpp0305832,Q9V4E0
FBpp0083141,Q24251;A0A0B4LHL7
FBpp0112014,Q9W2E8
FBpp0073308,Q9VZ01
FBpp0074481,Q9VWI0
FBpp0304269,Q7JZK1
FBpp0072233,Q9W125
FBpp0086012,A1ZAW7
FBpp0305117,Q9W2X6
FBpp0297500,Q7K1C0
FBpp0081947,A0A0B4KFT0;Q94514
FBpp0086974,Q9XY35;A0A1B2AJQ1
FBpp0100184,P18934;B6E0Q1
FBpp0084806,Q9VAK5
FBpp0074984,Q9VVH5
FBpp0073777,Q9VXZ0
FBpp0304248,M9PDU4
FBpp0297136,Q9VKM3
FBpp0083570,P91929;A4V383
FBpp0070373,O18399
FBpp0084776,Q9VAM9
FBpp0070376,Q9W511
FBpp0081254,Q8T053
FBpp0073651,P56175
FBpp0071892,Q9W1V3;E4NKN3
FBpp0112147,Q9VFF3
FBpp0088040,Q7K3M5
FBpp0074227,Q9VX34
FBpp0083564,Q9VD81
FBpp0078973,Q9VM71;M9PEY6
FBpp0081082,Q8STI6
FBpp0084729,Q9VAQ5
FBpp0084191,Q9VBU2
FBpp0305289,Q9V3U2;M9PCI2
FBpp0078856,Q9VMJ1
FBpp0083015,Q9VE94
FBpp0079000,Q9VM72
FBpp0084082,Q9VC28
FBpp0079443,Q9U3Z7;D2NUK9
FBpp0082153,Q9VG21
FBpp0087645,Q07886
FBpp0088562,P19018
FBpp0081725,Q9VGZ2
FBpp0072020,Q9W1M9
FBpp0070390,Q9W4Z4;E7BBS5
FBpp0070552,Q9W4Q9;E7BBS6
FBpp0073106,Q09024
FBpp0076100,E7BBS4
FBpp0076058,Q9VT51;E7BBS1
FBpp0076102,Q9VT52;E7BBS2
FBpp0076101,Q9VT53;E7BBS3
FBpp0076057,Q9VT50;C9QPG9
FBpp0070395,O46067
FBpp0084244,Q9VBV5
FBpp0081581,P29413;Q53YH3
FBpp0087164,Q3YMU0
FBpp0081552,Q9VHA8
FBpp0082735,Q9XZ63
FBpp0079892,Q9VKC7
FBpp0080395,Q9V438
FBpp0075401,P54399;X2JGP4
FBpp0071279,Q24319
FBpp0077720,Q9VPQ2
FBpp0070396,Q29R09
FBpp0086711,Q9V6U8
FBpp0085891,Q7JY94
FBpp0073354,Q9VYY3;T1W131
FBpp0070398,Q9W501
FBpp0085658,Q9V8W3
FBpp0077316,Q9XZ68
FBpp0070402,P17886
FBpp0078146,D0IQJ8
FBpp0077353,Q9VQK7
FBpp0077107,Q9VR29
FBpp0087094,O44437;A0A1B2AJH4
FBpp0077396,Q9VQF5
FBpp0083581,Q9VD52
FBpp0079537,Q9VL25
FBpp0087219,A1Z8J0
FBpp0305943,P39736;M9PGQ6
FBpp0073316,O97454
FBpp0075684,Q9VU02
FBpp0077778,Q9VPL0
FBpp0083893,Q8IMX8
FBpp0078624,Q95RB1
